name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id
(405) Brewing Co,micro,1716 Topeka St,Norman,Oklahoma,73069-8224,-97.46818222,35.25738891,Oklahoma,73069,1
10 Barrel Brewing Co,large,1501 E St,San Diego,California,92101-6618,-117.129593,32.714813,California,92101,3
10 Barrel Brewing Co,large,62970 18th St,Bend,Oregon,97701-9847,-121.281706,44.08683531,Oregon,97701,4
10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,Bend,Oregon,97703-2465,-121.3288021,44.0575649,Oregon,97703,5
10 Barrel Brewing Co,large,1411 NW Flanders St,Portland,Oregon,97209-2620,-122.6855056,45.5259786,Oregon,97209,6
10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,Bend,Oregon,97701,-121.2809536,44.0912109,Oregon,97701,7
10 Barrel Brewing Co - Boise,large,826 W Bannock St,Boise,Idaho,83702-5857,-116.202929,43.618516,Idaho,83702,8
10 Barrel Brewing Co - Denver,large,2620 Walnut St,Denver,Colorado,80205-2231,-104.9853655,39.7592508,Colorado,80205,9
10 Torr Distilling and Brewing,micro,490 Mill St,Reno,Nevada,89502,-119.7732015,39.5171702,Nevada,89502,10
10-56 Brewing Company,micro,400 Brown Cir,Knox,Indiana,46534,-86.627954,41.289715,Indiana,46534,11
101 Brewery,brewpub,294793 US Highway 101,Quilcene,Washington,98376-9000,-122.8755823,47.82347577,Washington,98376,12
101 North Brewing Company,closed,1304 Scott St Ste D,Petaluma,California,94954-7100,-122.665055,38.27029381,California,94954,13
105 West Brewing Co,micro,1043 Park St,Castle Rock,Colorado,80109-1585,-104.8667206,39.38269495,Colorado,80109,14
10K Brewing,micro,2005 2nd Ave,Anoka,Minnesota,55303-2243,-93.38952559,45.19812039,Minnesota,55303,15
10th District Brewing Company,micro,491 Washington St,Abington,Massachusetts,02351-2419,-70.94594149,42.10591754,Massachusetts,02351,16
11 Below Brewing Company,micro,6820 Bourgeois Rd,Houston,Texas,77066-3107,-95.5186591,29.9515464,Texas,77066,17
1188 Brewing Co,brewpub,141 E Main St,John Day,Oregon,97845-1210,-118.9218754,44.4146563,Oregon,97845,18
12 West Brewing Company - Production Facility,micro,,Mesa,Arizona,85207,-111.5860662,33.436188,Arizona,85207,21
122 West Brewing Co,closed,2416 Meridian St,Bellingham,Washington,98225-2405,-122.485982,48.7621709,Washington,98225,22
127 Brewing,micro,3090 Shirley Dr,Jackson,Michigan,49201-7010,-84.43116792,42.28667212,Michigan,49201,23
12Degree Brewing,brewpub,820 Main St,Louisville,Colorado,80027-1865,-105.1319826,39.9782443,Colorado,80027,24
13 Below Brewery,micro,7391 Forbes Rd,Cincinnati,Ohio,45233-1013,-84.70634815,39.12639764,Ohio,45233,26
13 Virtues Brewing Co,brewpub,6410 SE Milwaukie Ave,Portland,Oregon,97202-5518,-122.6487531,45.4762536,Oregon,97202,28
14 Cannons Brewing Company,micro,31125 Via Colinas Ste 907,Westlake Village,California,91362-3974,-118.802397,34.15334,California,91362,30
14er Brewing Company,proprietor,2801 Walnut St,Denver,Colorado,80205-2235,-104.9839636,39.7614112,Colorado,80205,32
16 Lots Brewing,brewpub,753 Reading Rd,Mason,Ohio,45040-1303,-84.3183801,39.3545967,Ohio,45040,34
16 Mile Brewing Co,micro,413 S Bedford St,Georgetown,Delaware,19947-1849,-75.37816436,38.6788938,Delaware,19947,35
16 Stone Brewpub,brewpub,9542 Main St,Holland Patent,New York,13354,-75.2565195,43.24211175,New York,13354,36
1717 Brewing Co,micro,322 E Court Ave,Des Moines,Iowa,50309-2015,-93.6120353,41.5872267,Iowa,50309,38
1718 Ocracoke Brewing,brewpub,1129 Irvin Garrish Hwy,Ocracoke,North Carolina,27960,-75.97176063,35.10715368,North Carolina,27960,39
180 and Tapped,micro,2010 A State Ave,Coraopolis,Pennsylvania,15108,-80.15020356,40.50984957,Pennsylvania,15108,41
1817 Brewery,micro,100 B South Olive St,okolona,Mississippi,38860,-88.750264,34.001703,Mississippi,38860,42
1840 Brewing Company,micro,342 E Ward St,Milwaukee,Wisconsin,53207-1348,-87.90606942,43.00436242,Wisconsin,53207,43
1850 Brewing Company,micro,,Mariposa,California,95338,-119.9036592,37.570148,California,95338,44
18th Street Brewery,micro,5725 Miller Ave,Gary,Indiana,46403-2871,-87.26887786,41.59928343,Indiana,46403,45
18th Street Brewery,micro,5417 Oakley Ave,Hammond,Indiana,46320-1817,-87.517422,41.61556796,Indiana,46320,46
1905 Brewing Company,micro,1301 S Chestnut St,Assumption,Illinois,62510-8504,-89.0503635,39.5172564,Illinois,62510,47
1912 Brewing,micro,2045 N Forbes Blvd Ste 105,Tucson,Arizona,85745-1444,-110.9927505,32.24673727,Arizona,85745,48
192 Brewing,micro,7324 NE 175th St,Kenmore,Washington,98028-2500,-122.2415652,47.75670075,Washington,98028,49
2 Basset Brewery,micro,202 E Main St,White Sulphur Springs,Montana,59645-9081,-110.9004865,46.54807609,Montana,59645,52
2 Dogz and A Guy Brewing,micro,228 Church St,Montrose,Pennsylvania,18801-1271,-75.8800318,41.8336364,Pennsylvania,18801,53
2 Feet Brewing Company,brewpub,80 Columbia St,Bangor,Maine,04401-6319,-68.77283099,44.80012684,Maine,04401,54
2 Row Brewing,micro,6856 S 300 W,Midvale,Utah,84047-1083,-111.9007652,40.5950202,Utah,84047,55
2 Tones Brewing Co.,micro,4539 E Broad St,Whitehall,Ohio,43213-1308,-82.9118174,40.0030689,Ohio,43213,57
2 Tread Brewing Co,brewpub,1018 Santa Rosa Plz,Santa Rosa,California,95401-6399,-122.7167729,38.4387767,California,95401,58
2 Way Brewing Company,brewpub,18 W Main St,Beacon,New York,12508-2512,-73.9809868,41.5082102,New York,12508,59
2 Witches Winery and Brewing Company,micro,209 Trade St,Danville,Virginia,24541-3545,-79.42125553,36.58590349,Virginia,24541,60
20 Corners Brewing LLC,brewpub,14148 NE 190th St Ste A,Woodinville,Washington,98072-8437,-122.1517007,47.76864301,Washington,98072,61
210 Brewing Co,brewpub,3438 Stoluckquamish Ln,Arlington,Washington,98223-9056,-122.18421,48.215096,Washington,98223,62
217 Brew Works,micro,217 South St S,Wilson,North Carolina,27893-4911,-77.9120318,35.7227625,North Carolina,27893,64
21st Amendment Brewery,regional,2010 Williams St Unit A,San Leandro,California,94577-2334,-122.1772928,37.71130036,California,94577,65
21st Amendment Brewery Cafe,brewpub,563 2nd St,San Francisco,California,94107-1411,-122.3925769,37.782448,California,94107,66
21st St Brewers Bar,brewpub,2017 Chouteau Ave,Saint Louis,Missouri,63103,-90.213781,38.624291,Missouri,63103,67
23rd Street Brewery,brewpub,3512 Clinton Pkwy,Lawrence,Kansas,66047-2145,-95.28093353,38.9429674,Kansas,66047,70
26 Degree Brewing Company,micro,2600 E Atlantic Blvd,Pompano Beach,Florida,33062-4940,-80.1224169,26.2316338,Florida,33062,71
2C Family Brewing Co.,micro,1215 1st St S,Nampa,Idaho,83651-3957,-116.559282,43.578989,Idaho,83651,73
2Kids Brewing Company,micro,8680 Miralani Dr Ste 123,San Diego,California,92126-6391,-117.137429,32.896584,California,92126,74
2nd Shift Brewing Co,brewpub,1601 Sublette Ave,Saint Louis,Missouri,63110-1924,-90.280526,38.621943,Missouri,63110,75
3 Beards Beer Company,contract,4 Main St,Williamsburg,Massachusetts,01096,-72.7305059,42.3923659,Massachusetts,01096,78
3 Daughters Brewing,micro,222 22nd St S,Saint Petersburg,Florida,33712-1240,-82.6629721,27.76899022,Florida,33712,79
3 Disciples Brewing,micro,,Sebastopol,California,95472-5937,-122.8332502,38.3845125,California,95472,80
3 Freaks Brewing Co,micro,7140 E County Line Rd,Highlands Ranch,Colorado,80126-3926,-104.9426656,39.5659575,Colorado,80126,81
3 Iron Brewing Company,micro,898 Via Lata Ste A,Colton,California,92324-3920,-117.3066993,34.05616889,California,92324,82
"3 Keys Brewing Company, LLC",brewpub,2505 Manatee Ave E,Bradenton,Florida,34208-2421,-82.53393502,27.49645026,Florida,34208,83
7venth Sun Tampa,micro,6809 N Nebraska Ave,Tampa,Florida,33604-5660,-82.4500207,27.9495902,Florida,33604,84
3 Nations Brewing,micro,2405 Squire Pl Ste 200,Farmers Branch,Texas,75234-4714,-96.89883128,32.93044336,Texas,75234,85
3 Sheeps Brewing Co,micro,1837 North Ave,Sheboygan,Wisconsin,53083-4620,-87.73006524,43.77384561,Wisconsin,53083,86
3 Sons Brewing Co.,proprietor,236 N Federal Hwy,Dania,Florida,33004-2870,-80.14361029,26.04800238,Florida,33004,88
