NAME,state,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,City,State
"O'Fallon city, Missouri",29,54074,34412.0,4333.0,7513.0,34707.0,34707.0,39512.0,39512.0,60074.0,96.5,27723.0,44.6,73382,73382,34412,97868,107214,25717,114110,122009,40193,8695,48540,58538,-888888888,4.5,-888888888,5.9,35283,35283,35283,35283,93651,66311,70.8,7222,7.7,32890,47.2,36774,52.8,O'Fallon,Missouri
"St. Louis city, Missouri",29,65000,139736.0,37975.0,57478.0,118761.0,118761.0,128187.0,128187.0,191070.0,89.2,83427.0,38.9,245307,245307,139736,49965,68460,58947,63402,87499,33810,80789,37063,53106,-888888888,15.4,-888888888,20.4,173493,173493,173493,173493,293310,228212,77.8,14865,5.1,114730,47.9,124557,52.1,St. Louis,Missouri
"Passaic city, New Jersey",34,56550,20446.0,2636.0,7469.0,24484.0,24484.0,27650.0,27650.0,25164.0,63.5,7455.0,18.8,50319,50319,20446,51806,75679,15391,51651,79933,23193,5055,24121,37429,-888888888,23.8,-888888888,23.0,21049,21049,21049,21049,69637,44179,63.4,6414,9.2,22608,46.9,25559,53.1,Passaic,New Jersey
"Nashua city, New Hampshire",33,50260,36986.0,8301.0,8689.0,38993.0,38993.0,37580.0,37580.0,60651.0,93.3,28759.0,44.2,75784,75784,36986,85870,107741,22668,102489,127640,44712,14318,52302,71687,-888888888,5.7,-888888888,8.2,38955,38955,38955,38955,91122,70673,77.6,5215,5.7,37699,51.2,35930,48.8,Nashua,New Hampshire
"Rochester city, Minnesota",27,54880,49984.0,8903.0,13809.0,46609.0,46609.0,51593.0,51593.0,77451.0,95.8,39862.0,49.3,96762,96762,49984,75902,112373,29326,102495,137812,46870,20658,46694,70126,-888888888,6.6,-888888888,8.6,54111,54111,54111,54111,121471,88939,73.2,8678,7.1,44572,47.7,48846,52.3,Rochester,Minnesota
"Paterson city, New Jersey",34,57000,51612.0,9696.0,18252.0,60188.0,60188.0,62062.0,62062.0,76551.0,75.8,14090.0,14.0,119685,119685,51612,46451,63899,37277,56250,69645,21574,14335,21134,37790,-888888888,21.5,-888888888,25.2,54231,54231,54231,54231,157783,108257,68.6,11536,7.3,56788,49.4,58075,50.6,Paterson,New Jersey
"Warren city, Michigan",26,84000,57632.0,13325.0,17515.0,56779.0,56779.0,60084.0,60084.0,89313.0,86.3,20709.0,20.0,115283,115283,57632,60042,74069,34792,71694,86926,31278,22840,36276,49717,-888888888,9.0,-888888888,13.7,60142,60142,60142,60142,138142,108630,78.6,6847,5.0,54990,48.9,57565,51.1,Warren,Michigan
"Lee's Summit city, Missouri",29,41348,37795.0,4406.0,8319.0,39782.0,39782.0,38467.0,38467.0,64268.0,97.7,31033.0,47.2,77033,77033,37795,100246,118634,28598,111947,135234,43121,9197,45908,58375,-888888888,2.3,-888888888,3.6,39391,39391,39391,39391,102506,70416,68.7,7393,7.2,36583,50.3,36203,49.7,Lee's Summit,Missouri
"Gastonia city, North Carolina",37,25580,33292.0,5985.0,11811.0,28853.0,28853.0,35795.0,35795.0,48092.0,86.3,12436.0,22.3,63677,63677,33292,53424,67378,19212,62026,79028,27801,14080,39532,49591,-888888888,11.2,-888888888,15.4,35696,35696,35696,35696,81159,59634,73.5,4177,5.1,27726,44.7,34261,55.3,Gastonia,North Carolina
"Minneapolis city, Minnesota",27,43000,188681.0,53233.0,58158.0,183399.0,183399.0,176862.0,176862.0,266532.0,92.1,155134.0,53.6,356026,356026,188681,69397,100172,76857,102959,136470,44836,111824,52357,72359,-888888888,7.2,-888888888,15.0,203633,203633,203633,203633,425338,321155,75.5,28721,6.8,176132,50.7,171533,49.3,Minneapolis,Minnesota
"East Orange city, New Jersey",34,19390,28318.0,6210.0,13708.0,22077.0,22077.0,31854.0,31854.0,43405.0,90.4,10652.0,22.2,53088,53088,28318,51368,65941,15897,60579,73615,27780,12421,27193,51507,-888888888,6.4,-888888888,11.6,29376,29376,29376,29376,68893,50777,73.7,2936,4.3,21400,41.5,30186,58.5,East Orange,New Jersey
"Westland city, Michigan",26,86000,37870.0,8658.0,13692.0,33213.0,33213.0,38264.0,38264.0,56463.0,90.3,12395.0,19.8,70827,70827,37870,56191,68337,19344,76205,84154,31309,18526,39945,47816,-888888888,7.1,-888888888,9.7,39435,39435,39435,39435,84528,66715,78.9,4042,4.8,32445,46.9,36730,53.1,Westland,Michigan
"Elizabeth city, New Jersey",34,21000,46107.0,8312.0,15535.0,49934.0,49934.0,55065.0,55065.0,65715.0,75.4,12650.0,14.5,103700,103700,46107,51549,71065,32282,60531,78149,24973,13825,30189,43531,-888888888,13.7,-888888888,17.6,49554,49554,49554,49554,135405,94324,69.7,9072,6.7,46814,47.1,52600,52.9,Elizabeth,New Jersey
"Cary town, North Carolina",37,10740,65254.0,6678.0,13681.0,70132.0,70132.0,74677.0,74677.0,112933.0,95.6,82909.0,70.2,141875,141875,65254,123857,156753,47696,142123,181749,58024,17558,64144,84714,-888888888,6.5,-888888888,8.1,69951,69951,69951,69951,178508,128332,71.9,14061,7.9,64387,47.7,70705,52.3,Cary,North Carolina
"Fargo city, North Dakota",38,25700,58269.0,18027.0,16484.0,51532.0,51532.0,50406.0,50406.0,73694.0,94.1,34049.0,43.5,100455,100455,58269,59089,83696,28780,82703,110161,39055,29489,37027,55823,-888888888,6.9,-888888888,13.2,61277,61277,61277,61277,124843,91079,73.0,8764,7.0,50092,50.8,48423,49.2,Fargo,North Dakota
