NAME,state,place,total_population
"Alabaster city, Alabama",01,00820,33670
"Anniston city, Alabama",01,01852,21545
"Athens city, Alabama",01,02956,27030
"Auburn city, Alabama",01,03076,78552
"Bessemer city, Alabama",01,05980,25618
"Birmingham city, Alabama",01,07000,196410
"Center Point city, Alabama",01,13264,20288
"Daphne city, Alabama",01,19648,28782
"Decatur city, Alabama",01,20104,57754
"Dothan city, Alabama",01,21184,71283
"Enterprise city, Alabama",01,24184,28984
"Fairhope city, Alabama",01,25240,29332
"Florence city, Alabama",01,26896,39922
"Gadsden city, Alabama",01,28696,33764
"Helena city, Alabama",01,34024,20230
"Homewood city, Alabama",01,35800,26057
"Hoover city, Alabama",01,35896,92588
"Huntsville city, Alabama",01,37000,215482
"Madison city, Alabama",01,45784,57735
"Mobile city, Alabama",01,50000,184960
"Montgomery city, Alabama",01,51000,198659
"Northport city, Alabama",01,55200,31015
"Opelika city, Alabama",01,57048,31534
"Oxford city, Alabama",01,57576,24780
"Pelham city, Alabama",01,58848,24690
"Phenix City city, Alabama",01,59472,36884
"Prattville city, Alabama",01,62328,42349
"Prichard city, Alabama",01,62496,20394
"Trussville city, Alabama",01,76944,27985
"Tuscaloosa city, Alabama",01,77256,100606
"Vestavia Hills city, Alabama",01,78552,38769
"Anchorage municipality, Alaska",02,03000,288121
"Fairbanks city, Alaska",02,24230,32704
"Juneau city and borough, Alaska",02,36400,31973
"Knik-Fairview CDP, Alaska",02,40645,20246
"Anthem CDP, Arizona",04,02430,26401
"Apache Junction city, Arizona",04,02830,39958
"Avondale city, Arizona",04,04720,90562
"Buckeye city, Arizona",04,07940,101314
"Bullhead City city, Arizona",04,08220,42245
"Casa Grande city, Arizona",04,10530,57699
"Casas Adobes CDP, Arizona",04,10670,73450
"Catalina Foothills CDP, Arizona",04,11230,53319
"Chandler city, Arizona",04,12000,279445
"Drexel Heights CDP, Arizona",04,20540,27434
"El Mirage city, Arizona",04,22220,36019
"Flagstaff city, Arizona",04,23620,76984
"Florence town, Arizona",04,23760,26200
"Fortuna Foothills CDP, Arizona",04,25030,30667
"Fountain Hills town, Arizona",04,25300,24635
"Gilbert town, Arizona",04,27400,273138
"Glendale city, Arizona",04,27820,249627
"Goodyear city, Arizona",04,28380,101744
"Green Valley CDP, Arizona",04,29710,21965
"Kingman city, Arizona",04,37620,33813
"Lake Havasu City city, Arizona",04,39370,58278
"Marana town, Arizona",04,44270,54903
"Maricopa city, Arizona",04,44410,62727
"Mesa city, Arizona",04,46000,509492
"Oro Valley town, Arizona",04,51600,47895
"Peoria city, Arizona",04,54050,194910
"Phoenix city, Arizona",04,55000,1624539
"Prescott city, Arizona",04,57380,46830
"Prescott Valley town, Arizona",04,57450,48188
"Queen Creek town, Arizona",04,58150,69311
"Rio Rico CDP, Arizona",04,60180,22877
"Sahuarita town, Arizona",04,62140,35345
"San Luis city, Arizona",04,63470,37334
"San Tan Valley CDP, Arizona",04,64210,103399
"Scottsdale city, Arizona",04,65000,242754
"Sierra Vista city, Arizona",04,66820,45485
"Sun City CDP, Arizona",04,70320,38917
"Sun City West CDP, Arizona",04,70355,27255
"Surprise city, Arizona",04,71510,149191
"Tempe city, Arizona",04,73000,184109
"Tucson city, Arizona",04,77000,543215
"Yuma city, Arizona",04,85540,97097
"Bella Vista city, Arkansas",05,04840,30814
"Benton city, Arkansas",05,05290,35676
"Bentonville city, Arkansas",05,05320,56723
"Cabot city, Arkansas",05,10300,26661
"Conway city, Arkansas",05,15190,65126
"El Dorado city, Arkansas",05,21070,20029
"Fayetteville city, Arkansas",05,23290,95231
"Fort Smith city, Arkansas",05,24550,89574
"Hot Springs city, Arkansas",05,33400,38118
"Jacksonville city, Arkansas",05,34750,29302
"Jonesboro city, Arkansas",05,35710,79330
"Little Rock city, Arkansas",05,41000,201984
"Maumelle city, Arkansas",05,44600,21564
"North Little Rock city, Arkansas",05,50450,64164
"Paragould city, Arkansas",05,53390,30710
"Pine Bluff city, Arkansas",05,55310,40250
"Rogers city, Arkansas",05,60410,71114
"Russellville city, Arkansas",05,61670,29344
"Searcy city, Arkansas",05,63020,20087
"Sherwood city, Arkansas",05,63800,33021
"Springdale city, Arkansas",05,66080,87255
"Texarkana city, Arkansas",05,68810,26667
"Van Buren city, Arkansas",05,71480,24684
"West Memphis city, Arkansas",05,74540,24275
"Adelanto city, California",06,00296,38122
"Alameda city, California",06,00562,76352
"Albany city, California",06,00674,21056
"Alhambra city, California",06,00884,81219
"Aliso Viejo city, California",06,00947,51829
"Altadena CDP, California",06,01290,46510
"American Canyon city, California",06,01640,23371
"Anaheim city, California",06,02000,345935
"Antelope CDP, California",06,02210,44991
"Antioch city, California",06,02252,114801
"Apple Valley town, California",06,02364,76217
"Arcadia city, California",06,02462,55335
"Arden-Arcade CDP, California",06,02553,100613
"Arvin city, California",06,02924,20363
"Ashland CDP, California",06,02980,24152
"Atascadero city, California",06,03064,29707
"Atwater city, California",06,03162,31972
"Azusa city, California",06,03386,48670
"Bakersfield city, California",06,03526,407581
"Baldwin Park city, California",06,03666,70634
"Banning city, California",06,03820,30276
"Barstow city, California",06,04030,25444
"Bay Point CDP, California",06,04415,25017
"Beaumont city, California",06,04758,55274
"Bell city, California",06,04870,32829
"Bellflower city, California",06,04982,77407
"Bell Gardens city, California",06,04996,38558
"Belmont city, California",06,05108,27217
"Benicia city, California",06,05290,26818
"Berkeley city, California",06,06000,117147
"Beverly Hills city, California",06,06308,31892
"Bloomington CDP, California",06,07064,25469
"Blythe city, California",06,07218,19755
"Brawley city, California",06,08058,26543
"Brea city, California",06,08100,47587
"Brentwood city, California",06,08142,64874
"Buena Park city, California",06,08786,83017
"Burbank city, California",06,08954,105407
"Burlingame city, California",06,09066,30107
"Calabasas city, California",06,09598,25947
"Calexico city, California",06,09710,38532
"Camarillo city, California",06,10046,70838
"Campbell city, California",06,10345,42758
"Carlsbad city, California",06,11194,115291
"Carmichael CDP, California",06,11390,81039
"Carson city, California",06,11530,93526
"Casa de Oro-Mount Helix CDP, California",06,11691,20605
"Castro Valley CDP, California",06,11964,66408
"Cathedral City city, California",06,12048,52228
"Ceres city, California",06,12524,49285
"Cerritos city, California",06,12552,48398
"Chico city, California",06,13014,102340
"Chino city, California",06,13210,92988
"Chino Hills city, California",06,13214,78675
"Chowchilla city, California",06,13294,20356
"Chula Vista city, California",06,13392,277211
"Citrus Heights city, California",06,13588,87411
"Claremont city, California",06,13756,35698
"Clovis city, California",06,14218,122985
"Coachella city, California",06,14260,42564
"Colton city, California",06,14890,54286
"Compton city, California",06,15044,93584
"Concord city, California",06,16000,124091
"Corcoran city, California",06,16224,23324
"Corona city, California",06,16350,159749
"Coronado city, California",06,16378,19458
"Costa Mesa city, California",06,16532,110750
"Covina city, California",06,16742,50416
"Cudahy city, California",06,17498,21247
"Culver City city, California",06,17568,39979
"Cupertino city, California",06,17610,58625
"Cypress city, California",06,17750,49923
"Daly City city, California",06,17918,101221
"Dana Point city, California",06,17946,32810
"Danville town, California",06,17988,43240
"Davis city, California",06,18100,66798
"Delano city, California",06,18394,52173
"Desert Hot Springs city, California",06,18996,32721
"Diamond Bar city, California",06,19192,53859
"Dinuba city, California",06,19318,25143
"Dixon city, California",06,19402,21000
"Downey city, California",06,19766,111637
"Duarte city, California",06,19990,22383
"Dublin city, California",06,20018,71680
"Eastern Goleta Valley CDP, California",06,20574,30251
"East Hemet CDP, California",06,20697,20757
"East Los Angeles CDP, California",06,20802,115803
"East Niles CDP, California",06,20903,27672
"East Palo Alto city, California",06,20956,28853
"East San Gabriel CDP, California",06,21096,22956
"Eastvale city, California",06,21230,71374
"El Cajon city, California",06,21712,105431
"El Centro city, California",06,21782,44165
"El Cerrito city, California",06,21796,25838
"El Dorado Hills CDP, California",06,21880,52978
"Elk Grove city, California",06,22020,178988
"El Monte city, California",06,22230,106913
"El Paso de Robles (Paso Robles) city, California",06,22300,31757
"Encinitas city, California",06,22678,61755
"Escondido city, California",06,22804,150656
"Eureka city, California",06,23042,26487
"Fairfield city, California",06,23182,119710
"Fair Oaks CDP, California",06,23294,33801
"Fallbrook CDP, California",06,23462,34119
"Florence-Graham CDP, California",06,24477,64169
"Florin CDP, California",06,24498,51334
"Folsom city, California",06,24638,81212
"Fontana city, California",06,24680,210786
"Foothill Farms CDP, California",06,24722,37476
"Foster City city, California",06,25338,32530
"Fountain Valley city, California",06,25380,56476
"Fremont city, California",06,26000,227523
"French Valley CDP, California",06,26067,45247
"Fresno city, California",06,27000,544500
"Fullerton city, California",06,28000,141875
"Galt city, California",06,28112,25489
"Gardena city, California",06,28168,59714
"Garden Grove city, California",06,29000,170492
"Gilroy city, California",06,29504,58101
"Glendale city, California",06,30000,192376
"Glendora city, California",06,30014,51564
"Goleta city, California",06,30378,32845
"Granite Bay CDP, California",06,30693,19351
"Hacienda Heights CDP, California",06,31596,52684
"Hanford city, California",06,31960,58496
"Hawthorne city, California",06,32548,86093
"Hayward city, California",06,33000,159839
"Hemet city, California",06,33182,90446
"Hercules city, California",06,33308,26094
"Hesperia city, California",06,33434,100959
"Highland city, California",06,33588,57165
"Hollister city, California",06,34120,43481
"Huntington Beach city, California",06,36000,196650
"Huntington Park city, California",06,36056,53651
"Imperial Beach city, California",06,36294,26051
"Indio city, California",06,36448,90421
"Inglewood city, California",06,36546,105179
"Irvine city, California",06,36770,309014
"Jurupa Valley city, California",06,37692,106937
"La Cañada Flintridge city, California",06,39003,21481
"La Crescenta-Montrose CDP, California",06,39045,21160
"Ladera Ranch CDP, California",06,39114,29596
"Lafayette city, California",06,39122,25205
"Laguna Beach city, California",06,39178,23887
"Laguna Hills city, California",06,39220,30957
"Laguna Niguel city, California",06,39248,64239
"La Habra city, California",06,39290,62595
"Lake Elsinore city, California",06,39486,71573
"Lake Forest city, California",06,39496,85732
"Lakeside CDP (San Diego County), California",06,39766,25235
"Lakewood city, California",06,39892,80607
"La Mesa city, California",06,40004,60721
"La Mirada city, California",06,40032,46671
"Lancaster city, California",06,40130,170134
"La Presa CDP, California",06,40326,39237
"La Puente city, California",06,40340,37294
"La Quinta city, California",06,40354,38185
"Lathrop city, California",06,40704,30654
"La Verne city, California",06,40830,30697
"Lawndale city, California",06,40886,31122
"Lemon Grove city, California",06,41124,27413
"Lemoore city, California",06,41152,27255
"Lennox CDP, California",06,41180,20499
"Lincoln city, California",06,41474,50623
"Linda CDP, California",06,41572,24547
"Live Oak CDP, California",06,41922,20949
"Livermore city, California",06,41992,86812
"Lodi city, California",06,42202,67020
"Loma Linda city, California",06,42370,25070
"Lomita city, California",06,42468,24320
"Lompoc city, California",06,42524,43829
"Long Beach city, California",06,43000,456063
"Los Altos city, California",06,43280,30699
"Los Angeles city, California",06,44000,3849306
"Los Banos city, California",06,44028,46398
"Los Gatos town, California",06,44112,32535
"Lynwood city, California",06,44574,65502
"Madera city, California",06,45022,67956
"Manhattan Beach city, California",06,45400,34678
"Manteca city, California",06,45484,85799
"Marina city, California",06,45778,23511
"Martinez city, California",06,46114,36822
"Maywood city, California",06,46492,24563
"Mead Valley CDP, California",06,46646,22312
"Menifee city, California",06,46842,106396
"Menlo Park city, California",06,46870,32480
"Merced city, California",06,46898,89292
"Millbrae city, California",06,47486,21506
"Milpitas city, California",06,47766,79074
"Mission Viejo city, California",06,48256,92449
"Modesto city, California",06,48354,218782
"Monrovia city, California",06,48648,37500
"Montclair city, California",06,48788,38069
"Montebello city, California",06,48816,61202
"Monterey city, California",06,48872,29875
"Monterey Park city, California",06,48914,59673
"Moorpark city, California",06,49138,35979
"Moreno Valley city, California",06,49270,211607
"Morgan Hill city, California",06,49278,45329
"Mountain View city, California",06,49670,81517
"Murrieta city, California",06,50076,112984
"Napa city, California",06,50258,78824
"National City city, California",06,50398,55917
"Newark city, California",06,50916,47431
"Newport Beach city, California",06,51182,84784
"Norco city, California",06,51560,26079
"North Highlands CDP, California",06,51924,42984
"North Tustin CDP, California",06,52379,25283
"Norwalk city, California",06,52526,100369
"Novato city, California",06,52582,52710
"Oakdale city, California",06,52694,22652
"Oakland city, California",06,53000,433797
"Oakley city, California",06,53070,43768
"Oceanside city, California",06,53322,172990
"Oildale CDP, California",06,53448,32157
"Ontario city, California",06,53896,177961
"Orange city, California",06,53980,137287
"Orangevale CDP, California",06,54092,35404
"Orcutt CDP, California",06,54120,32425
"Oxnard city, California",06,54652,201898
"Pacifica city, California",06,54806,37111
"Palmdale city, California",06,55156,165795
"Palm Desert city, California",06,55184,51530
"Palm Springs city, California",06,55254,45011
"Palo Alto city, California",06,55282,66666
