City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64
0,"Alabaster city, Alabama",01,00820,33670,16058,17612,42.0,42.4,40.7,33670,2231,3222,5060,4651,5100
1,"Anniston city, Alabama",01,01852,21545,9639,11906,42.4,41.8,43.1,21545,2375,2276,2453,2110,3804
2,"Athens city, Alabama",01,02956,27030,12443,14587,42.1,42.2,40.8,27030,1280,4357,4558,2915,2846
3,"Auburn city, Alabama",01,03076,78552,37961,40591,27.8,27.1,29.3,78552,19370,11483,9383,6921,6137
4,"Bessemer city, Alabama",01,05980,25618,12639,12979,37.2,33.4,49.2,25618,2783,3260,2574,2452,3968
5,"Birmingham city, Alabama",01,07000,196410,94696,101714,37.2,32.9,40.1,196410,23198,31770,25077,20485,23355
6,"Center Point city, Alabama",01,13264,20288,9130,11158,38.9,40.1,36.4,20288,796,4324,2490,2471,3510
7,"Daphne city, Alabama",01,19648,28782,11205,17577,33.9,36.0,31.2,28782,1335,5293,3237,4341,2938
8,"Decatur city, Alabama",01,20104,57754,28253,29501,42.1,42.1,42.1,57754,4089,7244,7660,5204,9094
9,"Dothan city, Alabama",01,21184,71283,33706,37577,40.5,38.9,42.2,71283,5751,8946,9092,8630,9289
10,"Enterprise city, Alabama",01,24184,28984,15050,13934,39.9,34.8,45.6,28984,2034,4249,3793,3557,4013
11,"Fairhope city, Alabama",01,25240,29332,14325,15007,43.8,43.2,44.8,29332,1276,2014,5217,3634,5379
12,"Florence city, Alabama",01,26896,39922,18263,21659,37.2,32.8,41.2,39922,4905,6860,3981,4325,5226
13,"Gadsden city, Alabama",01,28696,33764,16043,17721,37.8,38.3,36.8,33764,4071,3675,4472,4208,4403
14,"Helena city, Alabama",01,34024,20230,9354,10876,38.3,34.8,41.1,20230,1342,2693,2663,3954,2058
15,"Homewood city, Alabama",01,35800,26057,11162,14895,30.1,32.8,27.3,26057,5767,3520,2038,3542,2709
16,"Hoover city, Alabama",01,35896,92588,46671,45917,38.9,38.2,40.7,92588,4895,13391,14452,11598,11436
17,"Huntsville city, Alabama",01,37000,215482,106904,108578,38.0,37.1,39.0,215482,23658,33498,30325,21628,28330
18,"Madison city, Alabama",01,45784,57735,28717,29018,34.5,33.0,36.0,57735,2546,9003,8340,6739,7551
19,"Mobile city, Alabama",01,50000,184960,88077,96883,37.8,36.3,39.3,184960,17514,27941,20723,20921,23990
20,"Montgomery city, Alabama",01,51000,198659,92976,105683,36.1,33.5,38.0,198659,19751,28255,25812,21754,23132
21,"Northport city, Alabama",01,55200,31015,15175,15840,36.2,31.9,37.5,31015,2596,3773,4160,3383,4388
22,"Opelika city, Alabama",01,57048,31534,15946,15588,40.1,35.3,46.6,31534,4829,3654,3834,3873,4268
23,"Oxford city, Alabama",01,57576,24780,11367,13413,42.2,41.0,42.2,24780,1587,3947,2765,4053,2479
24,"Pelham city, Alabama",01,58848,24690,12069,12621,38.0,36.0,39.7,24690,1395,3736,3477,2992,2608
25,"Phenix City city, Alabama",01,59472,36884,18327,18557,39.0,33.8,41.9,36884,5283,3238,5096,4640,4933
26,"Prattville city, Alabama",01,62328,42349,20332,22017,41.5,40.0,45.0,42349,4993,3212,5823,6559,5567
27,"Prichard city, Alabama",01,62496,20394,8340,12054,36.4,38.4,35.0,20394,2491,2761,2427,2020,2434
28,"Trussville city, Alabama",01,76944,27985,13884,14101,38.5,38.2,38.5,27985,2082,1511,5724,4733,2621
29,"Tuscaloosa city, Alabama",01,77256,100606,47802,52804,29.4,29.4,29.5,100606,25005,16299,9563,9260,9889
30,"Vestavia Hills city, Alabama",01,78552,38769,19142,19627,37.2,35.9,39.3,38769,1330,5364,6530,4827,3546
31,"Anchorage municipality, Alaska",02,03000,288121,147647,140474,35.2,33.9,36.0,288121,27344,47051,42922,32763,32652
32,"Fairbanks city, Alaska",02,24230,32704,18040,14664,30.6,28.6,31.4,32704,5917,7339,3329,3278,1965
33,"Juneau city and borough, Alaska",02,36400,31973,15153,16820,39.4,39.6,38.9,31973,2812,5492,4260,3533,4804
34,"Knik-Fairview CDP, Alaska",02,40645,20246,9811,10435,31.9,32.8,31.4,20246,1237,3389,2358,2619,2285
35,"Anthem CDP, Arizona",04,02430,26401,12228,14173,41.5,40.9,41.7,26401,2256,1641,3156,4103,2426
36,"Apache Junction city, Arizona",04,02830,39958,19855,20103,49.3,43.2,53.4,39958,3319,4909,3953,4640,5779
37,"Avondale city, Arizona",04,04720,90562,42419,48143,30.2,28.2,32.2,90562,10447,12730,12357,10945,8660
38,"Buckeye city, Arizona",04,07940,101314,51385,49929,35.1,35.5,34.7,101314,5402,16187,12058,14658,9215
39,"Bullhead City city, Arizona",04,08220,42245,22116,20129,54.2,53.0,57.4,42245,3207,3618,2396,7095,7477
40,"Casa Grande city, Arizona",04,10530,57699,29347,28352,37.4,36.1,38.1,57699,5208,9154,5362,7249,7753
41,"Casas Adobes CDP, Arizona",04,10670,73450,35466,37984,41.4,38.6,44.9,73450,9554,9037,8923,7835,9876
42,"Catalina Foothills CDP, Arizona",04,11230,53319,25395,27924,52.0,52.1,52.0,53319,2755,3214,6993,6152,9142
43,"Chandler city, Arizona",04,12000,279445,142965,136480,36.6,34.9,38.4,279445,23724,44573,40880,40263,31666
44,"Drexel Heights CDP, Arizona",04,20540,27434,14277,13157,40.1,40.3,39.5,27434,2307,2765,3930,3245,3481
45,"El Mirage city, Arizona",04,22220,36019,18347,17672,31.5,29.0,33.8,36019,5114,4762,5643,3243,3748
46,"Flagstaff city, Arizona",04,23620,76984,37720,39264,26.7,28.6,24.6,76984,23375,12060,8164,7645,7255
47,"Florence town, Arizona",04,23760,26200,18225,7975,41.6,40.2,56.2,26200,1811,4765,5382,2538,3242
48,"Fortuna Foothills CDP, Arizona",04,25030,30667,15744,14923,56.1,49.6,58.3,30667,1674,3864,1751,3187,4166
49,"Fountain Hills town, Arizona",04,25300,24635,11465,13170,60.3,60.7,59.8,24635,973,1829,1420,2506,7584
50,"Gilbert town, Arizona",04,27400,273138,138703,134435,35.3,34.4,35.9,273138,21879,32169,47840,35657,25464
51,"Glendale city, Arizona",04,27820,249627,125148,124479,36.1,33.9,39.1,249627,27022,35681,33564,30776,29642
52,"Goodyear city, Arizona",04,28380,101744,47382,54362,38.7,39.8,36.8,101744,8344,10628,17178,12240,11766
53,"Green Valley CDP, Arizona",04,29710,21965,9671,12294,73.4,74.1,72.8,21965,243,295,500,585,2930
54,"Kingman city, Arizona",04,37620,33813,17791,16022,42.0,42.0,42.1,33813,1832,3643,5322,2706,5606
55,"Lake Havasu City city, Arizona",04,39370,58278,29412,28866,57.2,57.2,57.1,58278,3471,6357,4606,5922,9677
56,"Marana town, Arizona",04,44270,54903,27785,27118,40.8,40.6,41.0,54903,4235,7460,7957,5669,6622
57,"Maricopa city, Arizona",04,44410,62727,30739,31988,37.6,37.7,37.3,62727,4318,7626,10701,7215,5401
58,"Mesa city, Arizona",04,46000,509492,252457,257035,37.7,37.2,38.2,509492,44340,76031,64891,55321,63204
59,"Oro Valley town, Arizona",04,51600,47895,23254,24641,55.0,51.6,56.1,47895,3629,3598,4466,4378,6457
