name,brewery_type,address_1,City,state_province,postal_code,longitude,latitude,state_x,zip_code,brewery_id,state_y,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent,State
(512) Brewing Co,micro,407 Radam Ln Ste F200,Austin,Texas,78745-1197,,,Texas,78745,2, Texas,5000.0,449399.0,119215.0,123679.0,410957.0,410957.0,399479.0,399479.0,637775.0,92.8,411354.0,59.9,801564.0,801564.0,449399.0,79542.0,115631.0,210515.0,112625.0,149774.0,53937.0,238884.0,57842.0,83575.0,-888888888.0,7.7,-888888888.0,12.7,469156.0,469156.0,469156.0,469156.0,964000.0,742813.0,77.1,55131.0,5.7,397010.0,50.8,384282.0,49.2, Texas
12 West Brewing Company,micro,3000 E Ray Rd Bldg 6,Gilbert,Arizona,85296-7832,,,Arizona,85296,20, Arizona,27400.0,93472.0,12000.0,17269.0,102263.0,102263.0,103605.0,103605.0,164332.0,96.6,80624.0,47.4,200934.0,200934.0,93472.0,104802.0,130885.0,71394.0,116284.0,143074.0,44911.0,22078.0,65669.0,80771.0,-888888888.0,3.9,-888888888.0,5.9,95508.0,95508.0,95508.0,95508.0,273138.0,182419.0,66.8,21771.0,8.0,95833.0,49.9,96199.0,50.1, Arizona
1323 R & D,micro,1323 Capital Blvd 1323 R and D,Raleigh,North Carolina,27603-1117,,,North Carolina,27603,29, North Carolina,55000.0,194917.0,39112.0,64015.0,186491.0,186491.0,202755.0,202755.0,298665.0,92.9,173290.0,53.9,384856.0,384856.0,194917.0,74612.0,104131.0,107245.0,99317.0,129659.0,44001.0,87672.0,48273.0,70259.0,-888888888.0,8.0,-888888888.0,12.9,217866.0,217866.0,217866.0,217866.0,469502.0,352911.0,75.2,30428.0,6.5,179389.0,48.0,194590.0,52.0, North Carolina
212 Brewing Company,contract,21476 Route 23,Davenport,New York,13750,,,New York,13750,63, Iowa,19000.0,44958.0,9776.0,13818.0,41393.0,41393.0,42887.0,42887.0,66059.0,93.1,19438.0,27.4,82916.0,82916.0,44958.0,53914.0,81587.0,24061.0,67294.0,99651.0,36360.0,20897.0,40369.0,56079.0,-888888888.0,12.4,-888888888.0,16.5,49139.0,49139.0,49139.0,49139.0,101010.0,76954.0,76.2,6022.0,6.0,39269.0,48.6,41612.0,51.4, Iowa
28th State Brewing,planning,,Houston,Texas,77095-6933,,,Texas,77095,72, Texas,35000.0,924981.0,210649.0,303326.0,907054.0,907054.0,938026.0,938026.0,1206382.0,79.0,553802.0,36.3,1816331.0,1816331.0,924981.0,55499.0,89003.0,542339.0,61795.0,104597.0,36265.0,382642.0,41912.0,63521.0,-888888888.0,16.1,-888888888.0,19.4,1028763.0,1028763.0,1028763.0,1028763.0,2287047.0,1664835.0,72.8,152355.0,6.7,864677.0,49.3,889900.0,50.7, Texas
2nd Story Brewing Company,brewpub,117 Chestnut St Frnt,Philadelphia,Pennsylvania,19106-4700,,,Pennsylvania,19106,76, Pennsylvania,60000.0,660921.0,147154.0,270111.0,603038.0,603038.0,686165.0,686165.0,947562.0,86.9,378996.0,34.8,1270642.0,1270642.0,660921.0,52899.0,77734.0,352498.0,61775.0,91456.0,32707.0,308423.0,37802.0,58421.0,-888888888.0,18.1,-888888888.0,22.8,733015.0,733015.0,733015.0,733015.0,1576251.0,1172084.0,74.4,96020.0,6.1,576153.0,46.6,660029.0,53.4, Pennsylvania
3 Sheets Brewery,micro,136 W 1st Ave,Albany,Oregon,97321,,,Oregon,97321,87, New York,1000.0,44279.0,12615.0,17211.0,40723.0,40723.0,46157.0,46157.0,56825.0,90.0,26509.0,42.0,85930.0,85930.0,44279.0,49763.0,71842.0,16294.0,73440.0,100748.0,33398.0,27985.0,37380.0,52360.0,-888888888.0,12.8,-888888888.0,22.0,50720.0,50720.0,50720.0,50720.0,98624.0,73394.0,74.4,8573.0,8.7,39498.0,46.9,44686.0,53.1, New York
3 Sheets Brewery,micro,136 W 1st Ave,Albany,Oregon,97321,,,Oregon,97321,87, Georgia,1052.0,27357.0,5281.0,13966.0,25226.0,25226.0,28387.0,28387.0,35097.0,82.0,8957.0,20.9,53098.0,53098.0,27357.0,38999.0,57946.0,14665.0,50282.0,76434.0,24907.0,12692.0,27290.0,33615.0,-888888888.0,20.9,-888888888.0,26.9,32318.0,32318.0,32318.0,32318.0,67146.0,46920.0,69.9,5488.0,8.2,23778.0,46.6,27213.0,53.4, Georgia
3 Stars Brewing Co,micro,6400 Chillum Pl NW Ste B,Washington,District of Columbia,20012-2111,,,District of Columbia,20012,89, District of Columbia,50000.0,319565.0,83924.0,133240.0,263114.0,263114.0,296559.0,296559.0,444233.0,92.8,301852.0,63.0,553437.0,553437.0,319565.0,90088.0,138856.0,128733.0,136184.0,192346.0,65808.0,190832.0,76236.0,100084.0,-888888888.0,12.8,-888888888.0,16.5,357482.0,357482.0,357482.0,357482.0,670050.0,515012.0,76.9,35516.0,5.3,255085.0,46.9,289236.0,53.1, District of Columbia
300 Suns Brewing Company,brewpub,335 1st Ave Unit C,Longmont,Colorado,80501-5958,,,Colorado,80501,92, Colorado,45970.0,43519.0,10103.0,11338.0,42399.0,42399.0,43070.0,43070.0,68851.0,92.4,34691.0,46.6,83965.0,83965.0,43519.0,72911.0,98117.0,24139.0,104050.0,123109.0,43412.0,19380.0,50789.0,63810.0,-888888888.0,5.5,-888888888.0,8.0,44891.0,44891.0,44891.0,44891.0,100427.0,78898.0,78.6,5926.0,5.9,40496.0,49.5,41251.0,50.5, Colorado
4 Noses Brewing Company,micro,8855 W 116th Cir Ste 3,Broomfield,Colorado,80021-2521,,,Colorado,80021,108, Colorado,9280.0,30161.0,5377.0,7573.0,31208.0,31208.0,31425.0,31425.0,50964.0,95.4,31446.0,58.9,61651.0,61651.0,30161.0,107638.0,140086.0,19793.0,129412.0,165400.0,56161.0,10368.0,65208.0,85333.0,-888888888.0,3.0,-888888888.0,5.1,31800.0,31800.0,31800.0,31800.0,75325.0,56671.0,75.2,5004.0,6.6,29724.0,50.0,29768.0,50.0, Colorado
