name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id
(512) Brewing Co,micro,407 Radam Ln Ste F200,Austin,Texas,78745-1197,-97.792614846,30.208605656,Texas,78745,2
12 Gates Brewing Company,brewpub,80 Earhart Dr Ste 20,Williamsville,New York,14221-7804,-78.729920877,42.980952841,New York,14221,19
12 West Brewing Company,micro,3000 E Ray Rd Bldg 6,Gilbert,Arizona,85296-7832,-111.762518433,33.335136701,Arizona,85296,20
12welve Eyes Brewing,micro,141 E 4th St Ste LL2,Saint Paul,Minnesota,55101-1639,-93.088300242,44.955919207,Minnesota,55101,25
13 Stripes Brewery,brewpub,"250 Mill St, Suite PW3101",Taylors,South Carolina,29687,-82.327800669,34.991467109,South Carolina,29687,27
1323 R & D,micro,1323 Capital Blvd 1323 R and D,Raleigh,North Carolina,27603-1117,-78.66089377,35.71301003,North Carolina,27603,29
14 Lakes Brewery,micro,,Crosslake,Minnesota,56442,-94.116315338,46.677860236,Minnesota,56442,31
14th Star Brewing,micro,133 N Main St Ste 7,Saint Albans,Vermont,05478-1735,-73.104390267,44.803484605,Vermont,05478,33
"1623 Brewing CO, llc",contract,1146 colonel Joshua Ct,Westminister,Maryland,21157,-76.983937143,39.558197671,Maryland,21157,37
1781 Brewing Company,micro,11109 Plank Rd,Spotsylvania,Virginia,22553-4258,-77.60125509,38.231176411,Virginia,22553,40
1940's Brewing Company,micro,1337 Lincoln Ave Unit 1,Holbrook,New York,11741-2275,-73.070358674,40.794962148,New York,11741,50
1st Republic Brewing Co,micro,39 River Rd Ste 6,Essex Junction,Vermont,05452-3879,-73.08637315,44.51595767,Vermont,05452,51
2 Silos Brewing Company,micro,9925 Discovery Blvd,Manassas,Virginia,20109,-77.506105128,38.784153209,Virginia,20109,56
212 Brewing Company,contract,21476 Route 23,Davenport,New York,13750,-74.82975865,42.474391832,New York,13750,63
23 Brewing Company / Lizzie B's Cafe,brewpub,2010 KY Route 321,Prestonsburg,Kentucky,41653-9103,-82.767732377,37.665449029,Kentucky,41653,68
238 Brewing Company,closed,10321 E Day Mt Spokane Rd,Mead,Washington,99021,-117.369133938,47.765802869,Washington,99021,69
28th State Brewing,planning,,Houston,Texas,77095-6933,-95.652018308,29.898842698,Texas,77095,72
2nd Story Brewing Company,brewpub,117 Chestnut St Frnt,Philadelphia,Pennsylvania,19106-4700,-75.14627831,39.950672901,Pennsylvania,19106,76
2SP Brewing Company,micro,120 Concord Rd,Aston,Pennsylvania,19014-2909,-75.563552437,39.887258814,Pennsylvania,19014,77
3 Sheets Brewery,micro,136 W 1st Ave,Albany,Oregon,97321,-123.111273467,44.609191436,Oregon,97321,87
3 Stars Brewing Co,micro,6400 Chillum Pl NW Ste B,Washington,District of Columbia,20012-2111,-77.025561983,38.970399774,District of Columbia,20012,89
30 Mile Brewing Co.,closed,39 Ragged Rock Rd Unit 5,Old Saybrook,Connecticut,06475-1518,-72.385634332,41.288536478,Connecticut,06475,91
300 Suns Brewing Company,brewpub,335 1st Ave Unit C,Longmont,Colorado,80501-5958,-105.106413721,40.170633272,Colorado,80501,92
38 State Brewing,micro,8071 S Broadway Ste A,Littleton,Colorado,80122-2730,-104.979683709,39.584167995,Colorado,80122,96
380 Brewing Company,planning,,Clancy,Montana,59634,-111.969697748,46.530167633,Montana,59634,97
3rd Planet Brewing,micro,120 Partin Dr N,Niceville,Florida,32578-2053,-86.43102344,30.489422954,Florida,32578,102
3rd Wave Brewing Co,micro,501 N Bi State Blvd,Delmar,Delaware,19940-1106,-75.550673024,38.476202655,Delaware,19940,105
4 Noses Brewing Company,micro,8855 W 116th Cir Ste 3,Broomfield,Colorado,80021-2521,-105.086665676,39.885154083,Colorado,80021,108
400 North Brewing,planning,,Sugarhill,Georgia,30518-7916,-84.042062612,34.100259626,Georgia,30518,110
406 Brewing Company,micro,"101 E Oak St,Â Ste D",Bozeman,Montana,59715-2967,-111.050200127,45.685106985,Montana,59715,111
412 Brews,brewpub,706 Island Ave,Mc Kees Rocks,Pennsylvania,15136-3287,-80.079481383,40.473635621,Pennsylvania,15136,113
450 North Brewing Company @ Simmons Winery,brewpub,8111 E 450 N,Columbus,Indiana,47203-8106,-85.859714314,39.221491124,Indiana,47203,116
4J Brewing Company,micro,1348 Cedar Post Ln.,Houston,Texas,77055,-95.49586778,29.795283748,Texas,77055,121
Barrie Brewing Company,planning,,Gainesville,Florida,32607-4807,-82.407912692,29.644031328,Florida,32607,126
5 Seasons Brewing Co - Westside,brewpub,1000 Marietta St NW Ste 204,Atlanta,Georgia,30318-0683,-84.445715822,33.788472774,Georgia,30318,132
56 Brewing,micro,3055 Columbia Ave NE Ste 102,Minneapolis,Minnesota,55418-1860,-93.243478973,45.020879789,Minnesota,55418,141
