NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant,City,State
"Alabaster city, Alabama",1,820,33670,16058,17612,42.0,42.4,40.7,33670.0,2231.0,3222.0,5060.0,4651.0,5100.0,12331.0,85144.0,96181.0,24436.0,52129,26114.0,9832,11162,12912,12331,581,Alabaster,Alabama
"Anniston city, Alabama",1,1852,21545,9639,11906,42.4,41.8,43.1,21545.0,2375.0,2276.0,2453.0,2110.0,3804.0,8623.0,39034.0,64544.0,23625.0,32206,17642.0,6440,6939,10836,8623,2213,Anniston,Alabama
"Athens city, Alabama",1,2956,27030,12443,14587,42.1,42.2,40.8,27030.0,1280.0,4357.0,4558.0,2915.0,2846.0,11672.0,51200.0,85707.0,30456.0,38674,22372.0,8026,8977,12246,11672,574,Athens,Alabama
"Auburn city, Alabama",1,3076,78552,37961,40591,27.8,27.1,29.3,78552.0,19370.0,11483.0,9383.0,6921.0,6137.0,29136.0,48531.0,85330.0,15266.0,22229,64443.0,25729,29739,35161,29136,6025,Auburn,Alabama
"Bessemer city, Alabama",1,5980,25618,12639,12979,37.2,33.4,49.2,25618.0,2783.0,3260.0,2574.0,2452.0,3968.0,9342.0,37266.0,41823.0,29154.0,25525,20190.0,7959,7413,11490,9342,2148,Bessemer,Alabama
"Birmingham city, Alabama",1,7000,196410,94696,101714,37.2,32.9,40.1,196410.0,23198.0,31770.0,25077.0,20485.0,23355.0,87570.0,36614.0,45763.0,30428.0,29637,162461.0,61592,67375,108533,87570,20963,Birmingham,Alabama
"Center Point city, Alabama",1,13264,20288,9130,11158,38.9,40.1,36.4,20288.0,796.0,4324.0,2490.0,2471.0,3510.0,7479.0,39649.0,39259.0,77272.0,31666,16161.0,6846,7087,8465,7479,986,Center Point,Alabama
"Daphne city, Alabama",1,19648,28782,11205,17577,33.9,36.0,31.2,28782.0,1335.0,5293.0,3237.0,4341.0,2938.0,10837.0,85271.0,91313.0,25719.0,45887,21139.0,7553,10295,11096,10837,259,Daphne,Alabama
"Decatur city, Alabama",1,20104,57754,28253,29501,42.1,42.1,42.1,57754.0,4089.0,7244.0,7660.0,5204.0,9094.0,23729.0,52013.0,70450.0,28521.0,35675,47049.0,16706,18349,24875,23729,1146,Decatur,Alabama
"Dothan city, Alabama",1,21184,71283,33706,37577,40.5,38.9,42.2,71283.0,5751.0,8946.0,9092.0,8630.0,9289.0,30301.0,45088.0,56812.0,36831.0,29678,57160.0,20258,23323,33868,30301,3567,Dothan,Alabama
"Enterprise city, Alabama",1,24184,28984,15050,13934,39.9,34.8,45.6,28984.0,2034.0,4249.0,3793.0,3557.0,4013.0,11911.0,50688.0,61774.0,45028.0,29627,23690.0,9295,9193,13840,11911,1929,Enterprise,Alabama
