City_ID,NAME,state,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
0,"Alabaster city, Alabama",01,00820,33670,16058,17612,42.0,42.4,40.7,33670,2231,3222,5060,4651,5100,12331,85144,96181,24436,52129,26114,9832,11162,12912,12331,581
1,"Anniston city, Alabama",01,01852,21545,9639,11906,42.4,41.8,43.1,21545,2375,2276,2453,2110,3804,8623,39034,64544,23625,32206,17642,6440,6939,10836,8623,2213
2,"Athens city, Alabama",01,02956,27030,12443,14587,42.1,42.2,40.8,27030,1280,4357,4558,2915,2846,11672,51200,85707,30456,38674,22372,8026,8977,12246,11672,574
3,"Auburn city, Alabama",01,03076,78552,37961,40591,27.8,27.1,29.3,78552,19370,11483,9383,6921,6137,29136,48531,85330,15266,22229,64443,25729,29739,35161,29136,6025
4,"Bessemer city, Alabama",01,05980,25618,12639,12979,37.2,33.4,49.2,25618,2783,3260,2574,2452,3968,9342,37266,41823,29154,25525,20190,7959,7413,11490,9342,2148
5,"Birmingham city, Alabama",01,07000,196410,94696,101714,37.2,32.9,40.1,196410,23198,31770,25077,20485,23355,87570,36614,45763,30428,29637,162461,61592,67375,108533,87570,20963
6,"Center Point city, Alabama",01,13264,20288,9130,11158,38.9,40.1,36.4,20288,796,4324,2490,2471,3510,7479,39649,39259,77272,31666,16161,6846,7087,8465,7479,986
7,"Daphne city, Alabama",01,19648,28782,11205,17577,33.9,36.0,31.2,28782,1335,5293,3237,4341,2938,10837,85271,91313,25719,45887,21139,7553,10295,11096,10837,259
8,"Decatur city, Alabama",01,20104,57754,28253,29501,42.1,42.1,42.1,57754,4089,7244,7660,5204,9094,23729,52013,70450,28521,35675,47049,16706,18349,24875,23729,1146
9,"Dothan city, Alabama",01,21184,71283,33706,37577,40.5,38.9,42.2,71283,5751,8946,9092,8630,9289,30301,45088,56812,36831,29678,57160,20258,23323,33868,30301,3567
