name,brewery_type,address_1,City,State,postal_code,longitude,latitude,state_x,zip_code,brewery_id,NAME,state_y,place,population_total,population_male,population_female,population_median_age,population_median_age_male,population_median_age_female,population_total_2,population_18_to_24,population_25_to_34,population_35_to_44,population_45_to_54,population_55_to_64,income_household,income_household_median,income_family_median,income_nonfamily_median,earnings_median,employment_total,employment_male,employment_female,occupancy_status_total,occupancy_status_occupied,occupancy_status_vacant
(405) Brewing Co,micro,1716 Topeka St,Norman,Oklahoma,73069-8224,-97.46818222,35.25738891,Oklahoma,73069.0,1,"Norman city, Oklahoma",40.0,52500.0,128087.0,63199.0,64888.0,32.5,32.4,32.7,687691.0,65220.0,107110.0,95415.0,79035.0,76201.0,14155.0,71963.0,59063.0,28261.0,31076.0,18444.0,44975.0,46495.0,57307.0,53446.0,3861.0
10 Barrel Brewing Co,large,1501 E St,San Diego,California,92101-6618,-117.129593,32.714813,California,92101.0,3,"San Diego city, California",6.0,66000.0,1381600.0,707804.0,673796.0,35.9,34.9,37.0,34070.0,2826.0,3995.0,4564.0,4380.0,4664.0,11759.0,93042.0,107093.0,74377.0,48579.0,1150367.0,502249.0,457320.0,555456.0,521000.0,34456.0
10 Barrel Brewing Co,large,62970 18th St,Bend,Oregon,97701-9847,-121.281706,44.08683531,Oregon,97701.0,4,"Bend city, Oregon",41.0,5800.0,102079.0,52159.0,49920.0,41.2,39.5,42.2,32768.0,550.0,3555.0,6510.0,6757.0,3153.0,25357.0,55398.0,86510.0,37802.0,49717.0,32362.0,32384.0,30907.0,47882.0,44620.0,3262.0
10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,Bend,Oregon,97703-2465,-121.3288021,44.0575649,Oregon,97703.0,5,"Bend city, Oregon",41.0,5800.0,102079.0,52159.0,49920.0,41.2,39.5,42.2,32768.0,550.0,3555.0,6510.0,6757.0,3153.0,25357.0,55398.0,86510.0,37802.0,49717.0,32362.0,32384.0,30907.0,47882.0,44620.0,3262.0
10 Barrel Brewing Co,large,1411 NW Flanders St,Portland,Oregon,97209-2620,-122.6855056,45.5259786,Oregon,97209.0,6,"Portland city, Oregon",41.0,59000.0,642218.0,318808.0,323410.0,38.3,38.3,38.3,35579.0,2708.0,7539.0,4020.0,3619.0,4012.0,11598.0,36125.0,79590.0,40542.0,46590.0,50737.0,229443.0,227784.0,303483.0,286734.0,16749.0
10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,Bend,Oregon,97701,-121.2809536,44.0912109,Oregon,97701.0,7,"Bend city, Oregon",41.0,5800.0,102079.0,52159.0,49920.0,41.2,39.5,42.2,32768.0,550.0,3555.0,6510.0,6757.0,3153.0,25357.0,55398.0,86510.0,37802.0,49717.0,32362.0,32384.0,30907.0,47882.0,44620.0,3262.0
10 Barrel Brewing Co - Boise,large,826 W Bannock St,Boise,Idaho,83702-5857,-116.202929,43.618516,Idaho,83702.0,8,"Boise City city, Idaho",16.0,8830.0,237457.0,118581.0,118876.0,37.2,36.5,37.7,63625.0,7633.0,11525.0,6952.0,5419.0,6707.0,22676.0,70217.0,87347.0,50980.0,39973.0,43999.0,78737.0,79071.0,104110.0,99250.0,4860.0
10 Barrel Brewing Co - Denver,large,2620 Walnut St,Denver,Colorado,80205-2231,-104.9853655,39.7592508,Colorado,80205.0,9,"Denver city, Colorado",8.0,20000.0,711463.0,358282.0,353181.0,35.1,35.1,35.1,20328.0,4138.0,3382.0,3208.0,2591.0,1527.0,8555.0,81630.0,105365.0,43326.0,50986.0,592643.0,259713.0,246522.0,351829.0,326634.0,25195.0
10 Torr Distilling and Brewing,micro,490 Mill St,Reno,Nevada,89502,-119.7732015,39.5171702,Nevada,89502.0,10,"Reno city, Nevada",32.0,60600.0,268843.0,135308.0,133535.0,36.3,36.0,36.6,109788.0,8751.0,17476.0,12462.0,15382.0,13199.0,88063.0,67478.0,73947.0,54345.0,38116.0,15970.0,88722.0,86298.0,116918.0,110993.0,5925.0
10-56 Brewing Company,micro,400 Brown Cir,Knox,Indiana,46534,-86.627954,41.289715,Indiana,46534.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
