brewery_type,state
micro,Oklahoma
large,California
large,Oregon
large,Oregon
large,Oregon
large,Oregon
large,Idaho
large,Colorado
micro,Nevada
micro,Indiana
brewpub,Washington
micro,Colorado
micro,Minnesota
micro,Massachusetts
micro,Texas
brewpub,Oregon
micro,Arizona
micro,Michigan
brewpub,Colorado
micro,Ohio
brewpub,Oregon
micro,California
proprietor,Colorado
brewpub,Ohio
micro,Delaware
brewpub,New York
micro,Iowa
brewpub,North Carolina
micro,Pennsylvania
micro,Mississippi
micro,Wisconsin
micro,California
micro,Indiana
micro,Indiana
micro,Illinois
micro,Arizona
micro,Washington
micro,Montana
micro,Pennsylvania
brewpub,Maine
micro,Utah
micro,Ohio
brewpub,California
brewpub,New York
micro,Virginia
brewpub,Washington
brewpub,Washington
micro,North Carolina
regional,California
brewpub,California
brewpub,Missouri
brewpub,Kansas
micro,Florida
micro,Idaho
micro,California
brewpub,Missouri
contract,Massachusetts
micro,Florida
micro,California
micro,Colorado
micro,California
brewpub,Florida
micro,Florida
micro,Texas
micro,Wisconsin
proprietor,Florida
micro,Missouri
micro,North Carolina
brewpub,Illinois
brewpub,Delaware
micro,Massachusetts
brewpub,Missouri
micro,North Carolina
micro,North Carolina
micro,Kentucky
micro,Missouri
regional,Missouri
nano,Washington
planning,California
brewpub,New York
brewpub,Illinois
brewpub,California
micro,Alaska
brewpub,Alaska
brewpub,Colorado
brewpub,Ohio
micro,Texas
micro,Iowa
brewpub,Michigan
brewpub,Washington
micro,Illinois
micro,Washington
planning,Alabama
brewpub,Georgia
micro,Texas
micro,Iowa
micro,California
brewpub,Michigan
contract,Illinois
brewpub,Washington
proprietor,New Mexico
micro,California
micro,Illinois
micro,Washington
planning,Colorado
brewpub,New York
micro,Minnesota
brewpub,California
brewpub,Oregon
brewpub,Iowa
micro,Washington
micro,New York
brewpub,California
brewpub,Illinois
micro,Michigan
brewpub,New Hampshire
brewpub,California
brewpub,Wisconsin
micro,California
brewpub,Wisconsin
micro,Texas
micro,Texas
micro,California
brewpub,Indiana
micro,South Dakota
micro,Florida
contract,Florida
micro,New Mexico
brewpub,Michigan
micro,Georgia
brewpub,California
micro,New Hampshire
micro,Minnesota
micro,California
brewpub,West Virginia
brewpub,Tennessee
micro,California
brewpub,California
brewpub,Wyoming
contract,Colorado
micro,Texas
micro,Washington
micro,Ohio
brewpub,Washington
micro,Texas
micro,New York
micro,New York
contract,District of Columbia
micro,California
planning,Colorado
micro,Kansas
micro,Massachusetts
micro,California
micro,Illinois
micro,Kentucky
micro,Kentucky
micro,New Hampshire
brewpub,South Carolina
micro,Maine
micro,Washington
brewpub,Washington
brewpub,Georgia
micro,Ohio
micro,Oregon
micro,Oregon
micro,California
micro,Texas
brewpub,California
regional,Alaska
brewpub,Iowa
brewpub,Michigan
micro,Florida
micro,Pennsylvania
regional,Wisconsin
micro,California
micro,California
micro,Washington
micro,Illinois
brewpub,Virginia
regional,California
micro,Oregon
micro,Oregon
brewpub,New York
micro,Nevada
micro,California
brewpub,Illinois
micro,California
regional,Maine
micro,Pennsylvania
micro,Oregon
brewpub,Pennsylvania
micro,Tennessee
micro,Florida
micro,Minnesota
regional,Kentucky
micro,Iowa
brewpub,Michigan
micro,Missouri
micro,California
micro,Connecticut
brewpub,Hawaii
micro,California
contract,California
micro,California
micro,Missouri
brewpub,California
micro,Washington
brewpub,Wisconsin
micro,California
micro,California
micro,Colorado
brewpub,Wyoming
micro,Texas
micro,California
brewpub,California
micro,California
brewpub,West Virginia
micro,Oregon
brewpub,New York
planning,California
brewpub,Florida
micro,Michigan
brewpub,Michigan
contract,Pennsylvania
brewpub,Florida
micro,Oklahoma
brewpub,Missouri
brewpub,Massachusetts
micro,Virginia
micro,Massachusetts
brewpub,California
brewpub,California
brewpub,California
brewpub,Washington
micro,California
brewpub,Oregon
large,California
micro,Alaska
regional,California
micro,North Carolina
micro,California
micro,Florida
micro,Montana
micro,California
micro,Minnesota
micro,Colorado
brewpub,Wisconsin
contract,Oklahoma
large,Missouri
large,Colorado
large,California
large,New York
large,Ohio
large,California
large,Texas
large,Florida
large,New Hampshire
large,Virginia
brewpub,Colorado
micro,Oklahoma
micro,Ohio
micro,Missouri
micro,Virginia
micro,Kentucky
brewpub,Pennsylvania
brewpub,Pennsylvania
micro,North Carolina
micro,New Hampshire
brewpub,Arkansas
brewpub,Wisconsin
brewpub,Rhode Island
micro,Ohio
brewpub,Michigan
micro,Michigan
micro,Michigan
brewpub,Missouri
micro,California
micro,Oregon
brewpub,California
micro,Michigan
micro,Virginia
micro,Illinois
micro,New York
micro,Alaska
micro,Oregon
contract,Connecticut
micro,Texas
micro,California
brewpub,South Dakota
micro,California
contract,Illinois
micro,California
brewpub,Illinois
micro,New York
micro,California
brewpub,New Jersey
brewpub,California
brewpub,Pennsylvania
