City_ID,NAME,DP02_0001E,state,place,DP02_0025E
0,"O'Fallon city, Missouri",34412,29,54074,34707
1,"St. Louis city, Missouri",139736,29,65000,118761
2,"Passaic city, New Jersey",20446,34,56550,24484
3,"Nashua city, New Hampshire",36986,33,50260,38993
4,"Rochester city, Minnesota",49984,27,54880,46609
5,"Paterson city, New Jersey",51612,34,57000,60188
6,"Warren city, Michigan",57632,26,84000,56779
7,"Lee's Summit city, Missouri",37795,29,41348,39782
8,"Gastonia city, North Carolina",33292,37,25580,28853
9,"Minneapolis city, Minnesota",188681,27,43000,183399
10,"East Orange city, New Jersey",28318,34,19390,22077
11,"Westland city, Michigan",37870,26,86000,33213
12,"Elizabeth city, New Jersey",46107,34,21000,49934
13,"Cary town, North Carolina",65254,37,10740,70132
14,"Fargo city, North Dakota",58269,38,25700,51532
15,"St. Cloud city, Minnesota",30029,27,56896,29734
16,"Las Cruces city, New Mexico",45991,35,39380,43117
17,"Springfield city, Missouri",79232,29,70000,69108
18,"Wyoming city, Michigan",28253,26,88940,29039
19,"St. Paul city, Minnesota",121964,27,58000,120467
20,"Charlotte city, North Carolina",365269,37,12000,341875
21,"Buffalo city, New York",122569,36,11000,103570
22,"Rochester Hills city, Michigan",28831,26,69035,31845
23,"Woodbury city, Minnesota",28751,27,71428,29570
24,"Omaha city, Nebraska",201469,31,37000,192717
25,"Concord city, North Carolina",33859,37,14100,40445
26,"Bayonne city, New Jersey",28375,34,03580,25888
27,"Albany city, New York",44279,36,01000,40723
28,"Bismarck city, North Dakota",31426,38,07200,30361
29,"Jacksonville city, North Carolina",22024,37,34200,41574
30,"Albuquerque city, New Mexico",243582,35,02000,230289
31,"Greensboro city, North Carolina",123955,37,28000,111603
32,"Greenville city, North Carolina",41575,37,28080,33066
33,"Independence city, Missouri",53057,29,35000,48006
34,"Asheville city, North Carolina",38131,37,02140,40291
35,"Newark city, New Jersey",115145,34,51000,118667
36,"High Point city, North Carolina",42738,37,31400,43535
37,"Southfield city, Michigan",35649,26,74900,29320
38,"Durham city, North Carolina",122412,37,19000,109215
39,"Kansas City city, Missouri",219020,29,38000,195676
40,"Cheektowaga CDP, New York",33247,36,15000,31952
41,"Sterling Heights city, Michigan",51805,26,76460,53308
42,"Camden city, New Jersey",24276,34,10000,23721
43,"Akron city, Ohio",84914,39,01000,74188
44,"Plymouth city, Minnesota",32923,27,51730,30141
45,"Jersey City city, New Jersey",119158,34,36000,118487
46,"St. Charles city, Missouri",29992,29,64082,28840
47,"Clifton city, New Jersey",32408,34,13690,37739
48,"Troy city, Michigan",33822,26,80700,36417
49,"Fayetteville city, North Carolina",83147,37,22920,83726
50,"St. Joseph city, Missouri",29750,29,64550,30653
51,"Manchester city, New Hampshire",48649,33,45140,48004
52,"Lakewood CDP, New Jersey",-999999999,34,38580,-999999999
53,"Coral Springs city, Florida",44417,12,14400,50905
54,"Bridgeport city, Connecticut",57732,09,08000,58821
55,"Davie town, Florida",39061,12,16475,40427
56,"Daytona Beach city, Florida",34721,12,16525,33863
57,"Deerfield Beach city, Florida",39934,12,16725,34259
58,"Delray Beach city, Florida",30472,12,17100,26154
59,"Deltona city, Florida",35384,12,17200,40167
60,"Doral city, Florida",25419,12,17935,30628
61,"Fort Lauderdale city, Florida",83021,12,24000,83972
62,"Fort Myers city, Florida",37323,12,24125,38918
63,"Washington city, District of Columbia",319565,11,50000,263114
64,"Anchorage municipality, Alaska",109584,02,03000,117839
65,"Alafaya CDP, Florida",32823,12,00410,40518
66,"Boca Raton city, Florida",41318,12,07300,36179
67,"Boynton Beach city, Florida",33201,12,07875,31610
68,"Brandon CDP, Florida",46925,12,08150,48602
69,"Cape Coral city, Florida",79845,12,10275,86486
70,"Clearwater city, Florida",49486,12,12875,52676
71,"Charleston city, South Carolina",63391,45,13330,62143
72,"Schenectady city, New York",28965,36,65508,27554
73,"Arlington city, Texas",146888,48,04000,155425
74,"Rock Hill city, South Carolina",29268,45,61405,26959
75,"Reading city, Pennsylvania",32504,42,63624,34144
76,"Lubbock city, Texas",104426,48,45000,101374
77,"Sammamish city, Washington",22090,53,61115,24985
78,"Kenosha city, Wisconsin",38438,55,39225,38062
79,"Pearland city, Texas",43012,48,56348,42943
80,"Racine city, Wisconsin",30885,55,66000,28355
81,"Cleveland city, Ohio",171321,39,16000,145361
82,"Eugene city, Oregon",74740,41,23850,74487
83,"Medford city, Oregon",36525,41,47000,36312
84,"Raleigh city, North Carolina",194917,37,55000,186491
85,"Greenville city, South Carolina",34154,45,30850,28306
86,"Atascocita CDP, Texas",29579,48,04462,34477
87,"Carrollton city, Texas",50308,48,13024,52183
88,"Sioux Falls city, South Dakota",83498,46,59020,77148
89,"Provo city, Utah",32518,49,62470,46626
90,"Denton city, Texas",57963,48,19972,62880
91,"Carolina zona urbana, Puerto Rico",,72,14290,
92,"Richmond city, Virginia",99929,51,67000,90198
93,"Roanoke city, Virginia",42455,51,68000,37492
94,"Seattle city, Washington",351650,53,63000,329448
95,"McAllen city, Texas",48438,48,45384,53879
96,"McKinney city, Texas",73357,48,45744,75878
97,"Pflugerville city, Texas",23875,48,57176,26528
98,"Pharr city, Texas",24797,48,57200,27945
99,"Lawton city, Oklahoma",33921,40,41850,39037
100,"Austin city, Texas",449399,48,05000,410957
101,"Cedar Park city, Texas",30407,48,13552,32902
102,"Centreville CDP, Virginia",24957,51,14440,29222
103,"Fort Worth city, Texas",334286,48,27000,344972
104,"Houston city, Texas",924981,48,35000,907054
105,"Mansfield city, Texas",25327,48,46452,30619
106,"South Hill CDP, Washington",22379,53,65922,26457
107,"Plano city, Texas",108472,48,58016,114727
108,"Columbus city, Ohio",390605,39,18000,361111
109,"Mount Pleasant town, South Carolina",37983,45,48535,37359
110,"Murfreesboro city, Tennessee",58371,47,51560,64452
111,"Nashville-Davidson metropolitan government (balance), Tennessee",305247,47,52006,268942
112,"St. George city, Utah",35656,49,65330,41144
113,"Chesapeake city, Virginia",93849,51,16000,97924
114,"Edinburg city, Texas",37541,48,22660,35082
115,"Auburn city, Washington",31836,53,03180,37148
116,"Frisco city, Texas",72282,48,27684,79782
117,"Kennewick city, Washington",30679,53,35275,32022
118,"Kent city, Washington",46036,53,35415,51146
