name,brewery_type,address_1,City,State,postal_code,longitude,latitude,state_x,zip_code,brewery_id,NAME,state_y,place,households_total,households_total_male,households_total_female,marital_status__male_15_over,marital_status__male_15_over_percent,marital_status__female_15_over,marital_status__female_15_over_percent,edu_high_school_over,edu_high_school_over.1,edu_bach_degree_over,edu_bach_degree_over_percent,employment_status_percent,employment_status,income_household,income_household_median,income_household_mean,income_family,income_family_median,income_family_mean,income_per_capita,income_nonfamily,income_nonfamily_median,income_nonfamily_mean,income_below_poverty_family,income_below_poverty_percent_family,income_below_poverty,income_below_poverty_percent,housing_occupancy,housing_occupancy_percent,housing_in_structure,housing_in_structure_percent,population_total,population_over_21,population_over_21_percent,population_15_to_19,population_15_to_19_percent,population_male_over_18,population_male_over_18_percent,population_female_over_18,population_female_over_18_percent
(405) Brewing Co,micro,1716 Topeka St,Norman,Oklahoma,73069-8224,-97.46818222,35.25738891,Oklahoma,73069,1,"Norman city, Oklahoma",40.0,52500.0,53446.0,11322.0,15286.0,54177.0,54177.0,56729.0,56729.0,74287.0,93.6,36625.0,46.1,109954.0,109954.0,53446.0,57786.0,79343.0,29505.0,88224.0,106617.0,34554.0,23941.0,31487.0,44217.0,-888888888.0,11.5,-888888888.0,18.8,57307.0,57307.0,57307.0,57307.0,128087.0,92914.0,72.5,12803.0,10.0,52250.0,48.7,54931.0,51.3
10 Barrel Brewing Co,large,1501 E St,San Diego,California,92101-6618,-117.129593,32.714813,California,92101,3,"San Diego city, California",6.0,66000.0,521000.0,113429.0,134936.0,597153.0,597153.0,568466.0,568466.0,868937.0,89.9,471761.0,48.8,1150367.0,1150367.0,521000.0,93042.0,124575.0,304324.0,107093.0,145008.0,48380.0,216676.0,70831.0,90605.0,-888888888.0,8.0,-888888888.0,11.7,555456.0,555456.0,555456.0,555456.0,1381600.0,1057949.0,76.6,87255.0,6.3,574112.0,51.2,547406.0,48.8
10 Barrel Brewing Co,large,62970 18th St,Bend,Oregon,97701-9847,-121.281706,44.08683531,Oregon,97701,4,"Bend city, Oregon",41.0,5800.0,44620.0,9222.0,9905.0,43147.0,43147.0,42600.0,42600.0,72053.0,95.2,38436.0,50.8,83761.0,83761.0,44620.0,82102.0,110978.0,28045.0,95239.0,131945.0,49894.0,16575.0,57383.0,71642.0,-888888888.0,4.8,-888888888.0,7.2,47882.0,47882.0,47882.0,47882.0,102079.0,80025.0,78.4,5002.0,4.9,40641.0,49.5,41473.0,50.5
10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,Bend,Oregon,97703-2465,-121.3288021,44.0575649,Oregon,97703,5,"Bend city, Oregon",41.0,5800.0,44620.0,9222.0,9905.0,43147.0,43147.0,42600.0,42600.0,72053.0,95.2,38436.0,50.8,83761.0,83761.0,44620.0,82102.0,110978.0,28045.0,95239.0,131945.0,49894.0,16575.0,57383.0,71642.0,-888888888.0,4.8,-888888888.0,7.2,47882.0,47882.0,47882.0,47882.0,102079.0,80025.0,78.4,5002.0,4.9,40641.0,49.5,41473.0,50.5
10 Barrel Brewing Co,large,1411 NW Flanders St,Portland,Oregon,97209-2620,-122.6855056,45.5259786,Oregon,97209,6,"Portland city, Oregon",41.0,59000.0,286734.0,65543.0,82822.0,274072.0,274072.0,278814.0,278814.0,452051.0,93.3,263232.0,54.3,546399.0,546399.0,286734.0,79057.0,108391.0,138910.0,104230.0,138450.0,49003.0,147824.0,55849.0,76193.0,-888888888.0,6.4,-888888888.0,12.0,303483.0,303483.0,303483.0,303483.0,642218.0,515575.0,80.3,31016.0,4.8,264448.0,49.4,270792.0,50.6
10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,Bend,Oregon,97701,-121.2809536,44.0912109,Oregon,97701,7,"Bend city, Oregon",41.0,5800.0,44620.0,9222.0,9905.0,43147.0,43147.0,42600.0,42600.0,72053.0,95.2,38436.0,50.8,83761.0,83761.0,44620.0,82102.0,110978.0,28045.0,95239.0,131945.0,49894.0,16575.0,57383.0,71642.0,-888888888.0,4.8,-888888888.0,7.2,47882.0,47882.0,47882.0,47882.0,102079.0,80025.0,78.4,5002.0,4.9,40641.0,49.5,41473.0,50.5
10 Barrel Brewing Co - Denver,large,2620 Walnut St,Denver,Colorado,80205-2231,-104.9853655,39.7592508,Colorado,80205,9,"Denver city, Colorado",8.0,20000.0,326634.0,86470.0,97588.0,301634.0,301634.0,298132.0,298132.0,473939.0,90.9,286847.0,55.0,592643.0,592643.0,326634.0,81630.0,115122.0,152927.0,105365.0,145483.0,52690.0,173707.0,63720.0,85674.0,-888888888.0,8.2,-888888888.0,11.6,351829.0,351829.0,351829.0,351829.0,711463.0,558313.0,78.5,35211.0,4.9,291170.0,50.3,287833.0,49.7
10 Torr Distilling and Brewing,micro,490 Mill St,Reno,Nevada,89502,-119.7732015,39.5171702,Nevada,89502,10,"Reno city, Nevada",32.0,60600.0,110993.0,26459.0,31496.0,111501.0,111501.0,111413.0,111413.0,161087.0,86.9,66467.0,35.9,219436.0,219436.0,110993.0,67478.0,90551.0,60766.0,83844.0,110565.0,37989.0,50227.0,46952.0,63019.0,-888888888.0,9.6,-888888888.0,14.0,116918.0,116918.0,116918.0,116918.0,268843.0,202419.0,75.3,16046.0,6.0,106802.0,50.1,106408.0,49.9
105 West Brewing Co,micro,1043 Park St,Castle Rock,Colorado,80109-1585,-104.8667206,39.38269495,Colorado,80109,14,"Castle Rock town, Colorado",8.0,12415.0,27249.0,2991.0,4219.0,28008.0,28008.0,30213.0,30213.0,48116.0,98.8,26491.0,54.4,56465.0,56465.0,27249.0,125657.0,148584.0,20728.0,137087.0,168662.0,53798.0,6521.0,71426.0,80202.0,-888888888.0,4.1,-888888888.0,4.4,28082.0,28082.0,28082.0,28082.0,76366.0,51252.0,67.1,5967.0,7.8,27064.0,49.9,27225.0,50.1
11 Below Brewing Company,micro,6820 Bourgeois Rd,Houston,Texas,77066-3107,-95.5186591,29.9515464,Texas,77066,17,"Houston city, Texas",48.0,35000.0,924981.0,210649.0,303326.0,907054.0,907054.0,938026.0,938026.0,1206382.0,79.0,553802.0,36.3,1816331.0,1816331.0,924981.0,55499.0,89003.0,542339.0,61795.0,104597.0,36265.0,382642.0,41912.0,63521.0,-888888888.0,16.1,-888888888.0,19.4,1028763.0,1028763.0,1028763.0,1028763.0,2287047.0,1664835.0,72.8,152355.0,6.7,864677.0,49.3,889900.0,50.7
12 West Brewing Company - Production Facility,micro,,Mesa,Arizona,85207,-111.5860662,33.436188,Arizona,85207,21,"Mesa city, Arizona",4.0,46000.0,199112.0,40343.0,52150.0,203198.0,203198.0,210078.0,210078.0,320415.0,91.5,113154.0,32.3,406200.0,406200.0,199112.0,69266.0,90131.0,126696.0,83116.0,104349.0,35439.0,72416.0,44989.0,60986.0,-888888888.0,7.2,-888888888.0,10.1,221995.0,221995.0,221995.0,221995.0,509492.0,374625.0,73.5,31701.0,6.2,195214.0,49.5,199365.0,50.5
