name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code,brewery_id,Incomplete,Population  , Population Density per km2 , Population Density per mile2 , Target population percentage  , TOTAL Brew Population Age Bracket population  ,male_brew_age,Median Income 12 mths ,Total: - white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:
(405) Brewing Co,micro,1716 Topeka St,Norman,Oklahoma,73069-8224,-97.46818222,35.25738891,Oklahoma,73069,1,,"26,464",670,259,21%,10500,5478,28548,8647,430,835,4288
10 Barrel Brewing Co,large,1501 E St,San Diego,California,92101-6618,-117.129593,32.714813,California,92101,3,,"47,505","3,091",1193,34%,26729,16087,52980,18181,141,439,13110
10 Barrel Brewing Co,large,62970 18th St,Bend,Oregon,97701-9847,-121.281706,44.08683531,Oregon,97701,4,,"42,159",51,20,22%,17777,9339,37187,15310,827,1663,5986
Aqueduct Brewing,micro,529 Grant St Ste 106,Akron,Ohio,44311-1184,-81.51788487,41.0698532,Ohio,44311,384,INCOMPLETE,,"1,488",575,,,,,,,,
10 Barrel Brewing Co,large,1411 NW Flanders St,Portland,Oregon,97209-2620,-122.6855056,45.5259786,Oregon,97209,6,,"22,755","7,359",2841,29%,12082,6666,56084,10748,177,216,8383
10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,Bend,Oregon,97701,-121.2809536,44.0912109,Oregon,97701,7,,"42,159",51,20,22%,17777,9339,37187,15310,827,1663,5986
Thirsty Dog Brewing Company,micro,529 Grant St Ste 103,Akron,Ohio,44311-1184,-81.51788487,41.0698532,Ohio,44311,7114,INCOMPLETE,,"1,488",575,,,,,,,,
10 Barrel Brewing Co - Denver,large,2620 Walnut St,Denver,Colorado,80205-2231,-104.9853655,39.7592508,Colorado,80205,9,,"34,967","2,810",1085,33%,21001,11591,50317,10282,246,659,6814
10 Torr Distilling and Brewing,micro,490 Mill St,Reno,Nevada,89502,-119.7732015,39.5171702,Nevada,89502,10,,"47,062",825,318,21%,19004,9963,31055,12641,732,1455,6310
10-56 Brewing Company,micro,400 Brown Cir,Knox,Indiana,46534,-86.627954,41.289715,Indiana,46534,11,,"11,247",35,14,18%,3872,2051,25589,3685,135,387,1230
