Geographic Area Name,Geographic,Area,Zip,City ,State,Total population ,TOTAL Brew Population Age Bracket population ,male_brew_age,Median Income,Number of white households,"Male householder, no spouse present","Female householder, no spouse present",Nonfamily households:,density (km2),density(mil2)
ZCTA5 00601,ZCTA5,601,601,Adjuntas,PR,17242,6439,3277,,4640,258,911,1552,102.6,40
ZCTA5 00602,ZCTA5,602,602,Aguada,PR,37548,14504,7393,,7735,586,1317,2200,482.5,186
ZCTA5 00603,ZCTA5,603,603,Aguadilla,PR,49804,18182,9097,,14013,819,3329,4517,552.4,213
ZCTA5 00606,ZCTA5,606,606,Maricao,PR,5009,2072,1147,,1053,125,279,271,50.1,19
ZCTA5 00610,ZCTA5,610,610,Anasco,PR,25731,10336,5283,,4907,372,1043,1193,272.1,105
ZCTA5 00611,ZCTA5,611,,,,,,,,250,13,39,56,46.5,18
ZCTA5 00612,ZCTA5,612,612,Arecibo,PR,62425,23114,11140,,11772,498,2991,4028,325,125
ZCTA5 00616,ZCTA5,616,616,Bajadero,PR,9828,4520,2281,,1839,76,579,539,361.3,139
ZCTA5 00617,ZCTA5,617,617,Barceloneta,PR,22541,9221,4531,,3984,195,1338,917,479.7,185
ZCTA5 00622,ZCTA5,622,622,Boqueron,PR,7838,3007,1146,,1024,77,133,379,96,37
ZCTA5 00623,ZCTA5,623,623,Cabo Rojo,PR,39320,15075,7839,,4382,175,860,1528,390.6,151
ZCTA5 00624,ZCTA5,624,624,Penuelas,PR,21709,8345,4224,,5114,439,1472,1372,180.2,70
ZCTA5 00627,ZCTA5,627,627,Camuy,PR,32873,12730,6349,,10163,298,2302,2873,273.8,106
ZCTA5 00631,ZCTA5,631,631,Castaner,PR,1414,381,118,,383,0,64,132,135.6,52
ZCTA5 00636,ZCTA5,636,,,,,,,,167,0,35,0,1236,477
ZCTA5 00637,ZCTA5,637,637,Sabana Grande,PR,23124,7356,3597,,4423,425,818,1690,252.7,98
ZCTA5 00638,ZCTA5,638,638,Ciales,PR,18109,6086,3183,,4080,289,930,1066,95.7,37
ZCTA5 00641,ZCTA5,641,611,Angeles,PR,24292,8958,4406,,4042,231,891,1209,114.4,44
ZCTA5 00646,ZCTA5,646,646,Dorado,PR,36272,14649,7133,,6510,392,1250,1678,662.9,256
ZCTA5 00647,ZCTA5,647,647,Ensenada,PR,4611,1548,875,,1007,111,180,366,126.9,49
ZCTA5 00650,ZCTA5,650,650,Florida,PR,13637,5513,2695,,2878,147,735,725,174.1,67
ZCTA5 00652,ZCTA5,652,652,Garrochales,PR,4020,1193,636,,709,20,148,282,191.4,74
ZCTA5 00653,ZCTA5,653,653,Guanica,PR,9244,3540,1705,,2202,233,413,793,159.1,61
