name,brewery_type,address_1,city,state_province,postal_code,longitude,latitude,state,zip_code
(405) Brewing Co,micro,1716 Topeka St,Norman,Oklahoma,73069-8224,-97.46818222,35.25738891,Oklahoma,73069
(512) Brewing Co,micro,407 Radam Ln Ste F200,Austin,Texas,78745-1197,,,Texas,78745
10 Barrel Brewing Co,large,1501 E St,San Diego,California,92101-6618,-117.129593,32.714813,California,92101
10 Barrel Brewing Co,large,62970 18th St,Bend,Oregon,97701-9847,-121.281706,44.08683531,Oregon,97701
10 Barrel Brewing Co,large,1135 NW Galveston Ave Ste B,Bend,Oregon,97703-2465,-121.3288021,44.0575649,Oregon,97703
10 Barrel Brewing Co,large,1411 NW Flanders St,Portland,Oregon,97209-2620,-122.6855056,45.5259786,Oregon,97209
10 Barrel Brewing Co - Bend Pub,large,62950 NE 18th St,Bend,Oregon,97701,-121.2809536,44.0912109,Oregon,97701
10 Barrel Brewing Co - Boise,large,826 W Bannock St,Boise,Idaho,83702-5857,-116.202929,43.618516,Idaho,83702
10 Barrel Brewing Co - Denver,large,2620 Walnut St,Denver,Colorado,80205-2231,-104.9853655,39.7592508,Colorado,80205
10 Torr Distilling and Brewing,micro,490 Mill St,Reno,Nevada,89502,-119.7732015,39.5171702,Nevada,89502
10-56 Brewing Company,micro,400 Brown Cir,Knox,Indiana,46534,-86.627954,41.289715,Indiana,46534
101 Brewery,brewpub,294793 US Highway 101,Quilcene,Washington,98376-9000,-122.8755823,47.82347577,Washington,98376
101 North Brewing Company,closed,1304 Scott St Ste D,Petaluma,California,94954-7100,-122.665055,38.27029381,California,94954
105 West Brewing Co,micro,1043 Park St,Castle Rock,Colorado,80109-1585,-104.8667206,39.38269495,Colorado,80109
10K Brewing,micro,2005 2nd Ave,Anoka,Minnesota,55303-2243,-93.38952559,45.19812039,Minnesota,55303
10th District Brewing Company,micro,491 Washington St,Abington,Massachusetts,02351-2419,-70.94594149,42.10591754,Massachusetts,02351
11 Below Brewing Company,micro,6820 Bourgeois Rd,Houston,Texas,77066-3107,-95.5186591,29.9515464,Texas,77066
1188 Brewing Co,brewpub,141 E Main St,John Day,Oregon,97845-1210,-118.9218754,44.4146563,Oregon,97845
12 Gates Brewing Company,brewpub,80 Earhart Dr Ste 20,Williamsville,New York,14221-7804,,,New York,14221
12 West Brewing Company,micro,3000 E Ray Rd Bldg 6,Gilbert,Arizona,85296-7832,,,Arizona,85296
12 West Brewing Company - Production Facility,micro,,Mesa,Arizona,85207,-111.5860662,33.436188,Arizona,85207
122 West Brewing Co,closed,2416 Meridian St,Bellingham,Washington,98225-2405,-122.485982,48.7621709,Washington,98225
127 Brewing,micro,3090 Shirley Dr,Jackson,Michigan,49201-7010,-84.43116792,42.28667212,Michigan,49201
12Degree Brewing,brewpub,820 Main St,Louisville,Colorado,80027-1865,-105.1319826,39.9782443,Colorado,80027
12welve Eyes Brewing,micro,141 E 4th St Ste LL2,Saint Paul,Minnesota,55101-1639,,,Minnesota,55101
13 Below Brewery,micro,7391 Forbes Rd,Cincinnati,Ohio,45233-1013,-84.70634815,39.12639764,Ohio,45233
13 Stripes Brewery,brewpub,"250 Mill St, Suite PW3101",Taylors,South Carolina,29687,,,South Carolina,29687
13 Virtues Brewing Co,brewpub,6410 SE Milwaukie Ave,Portland,Oregon,97202-5518,-122.6487531,45.4762536,Oregon,97202
1323 R & D,micro,1323 Capital Blvd 1323 R and D,Raleigh,North Carolina,27603-1117,,,North Carolina,27603
14 Cannons Brewing Company,micro,31125 Via Colinas Ste 907,Westlake Village,California,91362-3974,-118.802397,34.15334,California,91362
14 Lakes Brewery,micro,,Crosslake,Minnesota,56442,,,Minnesota,56442
14er Brewing Company,proprietor,2801 Walnut St,Denver,Colorado,80205-2235,-104.9839636,39.7614112,Colorado,80205
14th Star Brewing,micro,133 N Main St Ste 7,Saint Albans,Vermont,05478-1735,,,Vermont,05478
16 Lots Brewing,brewpub,753 Reading Rd,Mason,Ohio,45040-1303,-84.3183801,39.3545967,Ohio,45040
16 Mile Brewing Co,micro,413 S Bedford St,Georgetown,Delaware,19947-1849,-75.37816436,38.6788938,Delaware,19947
16 Stone Brewpub,brewpub,9542 Main St,Holland Patent,New York,13354,-75.2565195,43.24211175,New York,13354
"1623 Brewing CO, llc",contract,1146 colonel Joshua Ct,Westminister,Maryland,21157,,,Maryland,21157
1717 Brewing Co,micro,322 E Court Ave,Des Moines,Iowa,50309-2015,-93.6120353,41.5872267,Iowa,50309
1718 Ocracoke Brewing,brewpub,1129 Irvin Garrish Hwy,Ocracoke,North Carolina,27960,-75.97176063,35.10715368,North Carolina,27960
1781 Brewing Company,micro,11109 Plank Rd,Spotsylvania,Virginia,22553-4258,,,Virginia,22553
180 and Tapped,micro,2010 A State Ave,Coraopolis,Pennsylvania,15108,-80.15020356,40.50984957,Pennsylvania,15108
1817 Brewery,micro,100 B South Olive St,okolona,Mississippi,38860,-88.750264,34.001703,Mississippi,38860
1840 Brewing Company,micro,342 E Ward St,Milwaukee,Wisconsin,53207-1348,-87.90606942,43.00436242,Wisconsin,53207
1850 Brewing Company,micro,,Mariposa,California,95338,-119.9036592,37.570148,California,95338
18th Street Brewery,micro,5725 Miller Ave,Gary,Indiana,46403-2871,-87.26887786,41.59928343,Indiana,46403
18th Street Brewery,micro,5417 Oakley Ave,Hammond,Indiana,46320-1817,-87.517422,41.61556796,Indiana,46320
1905 Brewing Company,micro,1301 S Chestnut St,Assumption,Illinois,62510-8504,-89.0503635,39.5172564,Illinois,62510
1912 Brewing,micro,2045 N Forbes Blvd Ste 105,Tucson,Arizona,85745-1444,-110.9927505,32.24673727,Arizona,85745
192 Brewing,micro,7324 NE 175th St,Kenmore,Washington,98028-2500,-122.2415652,47.75670075,Washington,98028
1940's Brewing Company,micro,1337 Lincoln Ave Unit 1,Holbrook,New York,11741-2275,,,New York,11741
